parcl_property_id,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
95721194,4987 HIGHWAY 115,,Habersham,131370002011,34.61264,-83.563537,Single family,3.0,1.0,1530.0,1955.0
91792545,106 EDWARDS RD,,Habersham,131370003003,34.59131,-83.53524,Single family,3.0,2.0,1200.0,1999.0
91046940,2250 HIGHWAY 255,,Habersham,131370002031,34.7224,-83.614457,Single family,3.0,2.0,1482.0,1977.0
85288643,761 DAWN PL,Baldwin City,Habersham,131370006012,34.490034,-83.591714,Single family,3.0,2.0,1668.0,2021.0
81287793,1214 TALMADGE DR,,Habersham,131370001001,34.613068,-83.407279,Single family,5.0,3.0,2349.0,1948.0
98952940,777 PIEDMONT MOUNTAIN RD,,Habersham,131370002032,34.676315,-83.58819,Single family,3.0,2.0,1872.0,1991.0
100635662,175 MCCAY RD,,Habersham,131370001001,34.597676,-83.414897,Single family,2.0,1.0,768.0,1957.0
77634615,375 ANNS ALY,,Habersham,131370002031,34.772823,-83.59545,Single family,4.0,3.0,2195.0,1988.0
74950667,350 ANDREW CLARK RD,,Habersham,131370004004,34.561943,-83.458792,Single family,3.0,2.0,1832.0,1993.0
77831030,1267 SMITH LOOP,,Habersham,131370006032,34.554983,-83.591788,Single family,3.0,2.0,1300.0,1977.0
69101582,202 AMYS RD,,Habersham,131370002011,34.6169,-83.587618,Single family,3.0,2.0,1800.0,1985.0
151064462,200 S BRUCE ST,Baldwin City,Habersham,131370006042,34.487258,-83.547417,Single family,3.0,1.0,1036.0,1972.0
156518554,1609 YONAH LAKE RD,,Habersham,131370001003,34.685738,-83.344664,Single family,2.0,2.0,840.0,2001.0
77079917,407 LOW GAP RD,,Habersham,131370002032,34.712292,-83.523393,Single family,3.0,2.0,1315.0,1977.0
96831855,104 BEACON CT,Demorest City,Habersham,131370005023,34.554771,-83.541658,Single family,5.0,3.5,2470.0,2016.0
158354231,111 OLD HARDMAN BTMS RD,,Habersham,131370002034,34.645202,-83.522174,Single family,4.0,3.0,1822.0,1994.0
173940398,2795 HIGHWAY 105,,Habersham,131370002012,34.616777,-83.612356,Single family,3.0,3.0,2622.0,2007.0
90008741,187 CASH ST,Cornelia City,Habersham,131370006043,34.504463,-83.525898,Single family,6.0,2.0,4324.0,1907.0
79845118,127 SURREY CT,Clarkesville City,Habersham,131370003002,34.607401,-83.515543,Single family,3.0,2.0,1290.0,1999.0
102671586,144 RICHLAND TER,,Habersham,131370002033,34.681244,-83.47705,Single family,2.0,2.0,1230.0,2003.0
166430535,154 CHENOCETAH DR,Cornelia City,Habersham,131370004002,34.512928,-83.515456,Single family,4.0,2.0,1940.0,1949.0
136402782,102 VILLAGE DR,Clarkesville City,Habersham,131370003002,34.607523,-83.52136,Single family,4.0,3.0,1880.0,2018.0
161920300,191 CARL MOORE RD,,Habersham,131370001002,34.682184,-83.435838,Single family,3.0,2.0,2398.0,2010.0
84859564,643 N MAIN ST,Cornelia City,Habersham,131370005011,34.518977,-83.529437,Single family,2.0,1.0,1640.0,1929.0
110217137,2850 OAKEY MOUNTAIN RD,,Habersham,131370002032,34.729134,-83.551214,Single family,3.0,4.0,1960.0,2003.0
67837820,121 AUTUMN BREEZE,,Habersham,131370002012,34.656888,-83.637429,Single family,3.0,2.0,1749.0,2000.0
74333967,4382 HIGHWAY 115,,Habersham,131370002011,34.605109,-83.570985,Single family,3.0,2.0,1801.0,1966.0
82691858,217 THIRD ST,Cornelia City,Habersham,131370005012,34.5156,-83.524773,Single family,2.0,1.0,1349.0,1937.0
78748524,603 ELBERTA ST,,Habersham,131370005011,34.525259,-83.535737,Single family,3.0,2.0,1073.0,1978.0
73568159,400 LAND O GOSHEN,,Habersham,131370002031,34.76374,-83.598638,Single family,2.0,2.0,1794.0,2015.0
91039673,155 BEAR PAW CT,,Habersham,131370002012,34.649755,-83.656066,Single family,5.0,5.5,5909.0,1999.0
168738016,977 CHANDLER HEIGHTS CIR,Baldwin City,Habersham,131370006011,34.485904,-83.568141,Single family,3.0,3.0,3081.0,1991.0
89642684,370 CRYSTAL HLS,,Habersham,131370002041,34.639294,-83.609508,Single family,3.0,2.0,1792.0,1985.0
81813199,179 LAND O GOSHEN,,Habersham,131370002031,34.762398,-83.602679,Single family,3.0,3.0,2537.0,1990.0
91174376,621 HAWTHORNE DR,,Habersham,131370002012,34.658255,-83.658569,Single family,2.0,3.0,1296.0,2013.0
96123142,175 SHORE CIR,Raoul CDP,Habersham,131370006014,34.453841,-83.599021,Single family,2.0,1.0,1464.0,1950.0
65973925,421 TWINFLOWER DR,Mount Airy Town,Habersham,131370004003,34.532751,-83.475912,Single family,4.0,3.0,1729.0,2006.0
139939338,389 NEW HOPE LN,,Habersham,131370006032,34.533782,-83.592969,Single family,3.0,2.0,1245.0,2002.0
76762930,249 RED FOX HOLLOW RD,Cornelia City,Habersham,131370005012,34.519113,-83.516794,Single family,3.0,1.0,1120.0,1979.0
149151558,1690 ROCKFORD CREEK RD,,Habersham,131370001001,34.641684,-83.455582,Single family,4.0,3.0,2910.0,2020.0
140872292,279 ROLLING MEADOW DR,,Habersham,131370004003,34.538349,-83.472885,Single family,3.0,2.0,1960.0,1994.0
97599087,150 KINNEY MILL RD,,Habersham,131370003001,34.582832,-83.471962,Single family,3.0,3.0,1823.0,2001.0
66010531,236 HIDDEN VALLEY DR,,Habersham,131370002012,34.6144,-83.636022,Single family,3.0,3.0,1468.0,1993.0
152548016,3990 HIGHWAY 115,,Habersham,131370002011,34.600989,-83.576586,Single family,3.0,3.0,3942.0,1992.0
85233066,140 TOWER AVE,Cornelia City,Habersham,131370004002,34.508937,-83.513181,Single family,3.0,4.0,2892.0,1984.0
124955488,215 AUDUBON LN,,Habersham,131370002032,34.659949,-83.617102,Single family,2.0,1.0,810.0,1972.0
73167792,360 OAK SPRINGS RD,,Habersham,131370002041,34.618785,-83.545868,Single family,3.0,2.0,1248.0,1988.0
82625713,404 OLD LEVEL GROVE RD,Cornelia City,Habersham,131370006041,34.515466,-83.547154,Single family,2.0,1.0,1112.0,1947.0
85523402,985 BLACKSNAKE RD,,Habersham,131370003001,34.591339,-83.490483,Single family,4.0,1.0,2084.0,
83362347,121 JUD TENCH RD,,Habersham,131370005022,34.564814,-83.573255,Single family,3.0,1.0,1036.0,1958.0
149751771,326 QUAIL TRL,,Habersham,131370005011,34.521585,-83.536672,Single family,3.0,4.0,1556.0,1988.0
137601911,138 TOWERVIEW CIR,Mount Airy Town,Habersham,131370004001,34.53579,-83.49794,Single family,3.0,2.0,1734.0,2006.0
64879236,1081 RIVERBEND RD,,Habersham,131370002012,34.603429,-83.630565,Single family,4.0,3.0,1080.0,2007.0
166542569,586 ELROD ST,Cornelia City,Habersham,131370005012,34.520727,-83.52021,Single family,3.0,3.0,1816.0,2021.0
162577112,353 IRVIN ST,Cornelia City,Habersham,131370006044,34.509386,-83.532532,Single family,4.0,4.0,5460.0,
181007863,1519 JIM THOMAS RD,,Habersham,131370002012,34.613793,-83.609554,Single family,4.0,3.0,2521.0,1989.0
174534436,664 N MIZE RD,,Habersham,131370003001,34.593383,-83.491849,Single family,3.0,2.0,1722.0,1999.0
99813738,882 BOB PATTON RD,,Habersham,131370001001,34.622147,-83.477847,Single family,4.0,1.0,2022.0,1937.0
125112446,5654 CAMP CREEK RD,,Habersham,131370004004,34.57159,-83.458058,Single family,2.0,2.0,1861.0,1976.0
141020628,4200 STATE HIGHWAY 365,Baldwin City,Habersham,131370006011,34.492341,-83.576612,Single family,1.0,1.0,675.0,1997.0
78935776,329 HIDDEN HILL CT,,Habersham,131370006031,34.524238,-83.639079,Single family,4.0,4.0,1972.0,2009.0
100170199,875 CREASY PATCH RD,,Habersham,131370006012,34.494873,-83.601828,Single family,3.0,3.0,2094.0,1999.0
73044079,758 DENNIS CASH RD,,Habersham,131370004003,34.537279,-83.481476,Single family,4.0,4.5,4200.0,1993.0
92440695,1074 KELLER RD,Mount Airy Town,Habersham,131370004001,34.521663,-83.501863,Single family,3.0,2.0,1288.0,1992.0
130702366,458 MCCARTAN TRL,,Habersham,131370002034,34.644114,-83.514918,Single family,3.0,2.0,2088.0,1988.0
79822061,253 HIGHWAY 197,,Habersham,131370004001,34.52884,-83.489666,Single family,4.0,2.0,1424.0,
95580355,1017 CHATTAHOOCHEE WAY,,Habersham,131370006031,34.52095,-83.640881,Single family,5.0,3.5,2784.0,1988.0
119467220,269 EMILY DR,Clarkesville City,Habersham,131370003002,34.61181,-83.511768,Single family,4.0,4.0,1616.0,1979.0
89133631,550 HARVEST CHURCH RD,,Habersham,131370002041,34.629896,-83.602974,Single family,2.0,1.0,1152.0,1981.0
100696696,235 GROVE ST,,Habersham,131370004001,34.531847,-83.501196,Single family,3.0,1.0,1671.0,1967.0
115528756,306 WOODCREST DR,,Habersham,131370002041,34.618263,-83.566112,Single family,3.0,2.0,1700.0,2006.0
82335011,3093 PEA RIDGE RD,,Habersham,131370006031,34.52272,-83.622737,Single family,4.0,1.0,2760.0,1980.0
88379057,254 LAKEWOOD COVE DR,,Habersham,131370003001,34.587606,-83.51504,Single family,3.0,4.5,3022.0,2017.0
99793728,3380 NEW LIBERTY RD,,Habersham,131370002034,34.666791,-83.489742,Single family,4.0,1.0,1964.0,1972.0
73606951,115 CREEKWOOD LN,,Habersham,131370002011,34.567465,-83.5995,Single family,2.0,2.0,1593.0,2006.0
124193106,217 SWEETBRIAR DR,,Habersham,131370002011,34.581428,-83.596223,Single family,3.0,2.0,2382.0,2001.0
69946056,125 WOODMERE CT,,Habersham,131370003001,34.591187,-83.495125,Single family,3.0,2.0,1430.0,2001.0
178437953,439 MCCARTAN TRL,,Habersham,131370002034,34.64523,-83.515642,Single family,3.0,2.0,1250.0,1992.0
141985516,213 SEYE WAILO TRL,,Habersham,131370002032,34.700013,-83.625105,Single family,3.0,2.0,1336.0,2003.0
67393865,350 LAMONT LN,,Habersham,131370002034,34.646154,-83.503694,Single family,2.0,2.0,1888.0,1995.0
65124611,930 BEAVER LAKE DR,,Habersham,131370001002,34.670878,-83.438636,Single family,3.0,2.0,1260.0,1999.0
80753097,127 POPLAR MILL RD,,Habersham,131370002011,34.607115,-83.552271,Single family,3.0,2.0,1523.0,2003.0
173901330,400 HALF MOON CT,,Habersham,131370002011,34.601342,-83.582017,Single family,3.0,1.0,1482.0,1952.0
100266330,235 DEERFIELD CIR,,Habersham,131370004003,34.534939,-83.480254,Single family,4.0,3.0,1656.0,1997.0
67009824,695 ROCKY BRANCH RD,Clarkesville City,Habersham,131370003002,34.610766,-83.511962,Single family,4.0,4.0,3727.0,1978.0
73677143,640 OLD RIDGE RD,,Habersham,131370002011,34.595713,-83.575095,Single family,2.0,1.0,1088.0,1952.0
